Date,Station_ID,Year_UTC,Month_UTC,Day_UTC,Latitude,Longitude,TA,DIC,Depth,CTDTEMP_ITS90,Salinity_PSS78
1985-11-06,090.0 090.0,1985,11,6,31.4179,-121.99,2232.1,1985.3,11,17.55,33.422
1985-11-07,090.0 070.0,1985,11,7,32.0846,-120.6387,2235.7,1994.8,11,15.9,33.542
1986-02-10,090.0 090.0,1986,2,10,31.4179,-121.99,2240.6000000000004,1994.1999999999998,12,NA,33.57
1986-02-14,090.0 070.0,1986,2,14,32.0846,-120.6387,2223.45,1992.35,11,NA,33.297
1986-02-15,090.0 070.0,1986,2,15,32.0846,-120.6387,2223.4,1992.3,11,14.41,33.297
1986-09-22,090.0 090.0,1986,9,22,31.4179,-121.99,2222.15,1979.35,9,NA,33.194
1986-09-23,090.0 070.0,1986,9,23,32.0846,-120.6387,2241.15,1989.35,10,NA,33.5335
1986-09-23,090.0 090.0,1986,9,23,31.4179,-121.99,2222.2,1979.4,9,18.41,33.194
1986-09-24,090.0 070.0,1986,9,24,32.0846,-120.6387,2241.2,1989.3,10,17.07,33.534
1986-11-16,090.0 070.0,1986,11,16,32.0846,-120.6387,2241.8,1987.3,16,NA,33.5435
1986-11-16,090.0 090.0,1986,11,16,31.4179,-121.99,2204.3,1972.7,11,NA,32.8985
1986-11-17,090.0 070.0,1986,11,17,32.0846,-120.6387,2241.8,1987.3,16,17.6,33.543
1986-11-17,090.0 090.0,1986,11,17,31.4179,-121.99,2204.3,1972.7,11,16.17,32.898
1987-05-04,090.0 090.0,1987,5,4,31.4179,-121.99,2230.45,1992.55,10,NA,33.3525
1987-05-05,090.0 070.0,1987,5,5,32.0846,-120.6387,NA,1991.3666666666666,10,NA,NA
1987-05-05,090.0 090.0,1987,5,5,31.4179,-121.99,2230.5,1992.5,10,15.95,33.353
1987-05-06,090.0 070.0,1987,5,6,32.0846,-120.6387,2224.1,1991.5,10,15.64,33.278
1987-09-09,090.0 070.0,1987,9,9,32.0846,-120.6387,2217.35,1978.3,11,NA,33.114000000000004
1987-09-09,090.0 090.0,1987,9,9,31.4179,-121.99,2228.3,NA,11,19.22,33.3525
1987-09-10,090.0 070.0,1987,9,10,32.0846,-120.6387,2217.3,1978.3,11,17.51,33.114
1987-09-10,090.0 090.0,1987,9,10,31.4179,-121.99,2228.3,1985.2,11,19.22,33.353
1987-11-17,090.0 090.0,1987,11,17,31.4179,-121.99,2231,1977.8,10,18.26,33.217
1987-11-18,090.0 070.0,1987,11,18,32.0846,-120.6387,2233.3,1980.5,11,17.04,33.31
1987-11-18,090.0 090.0,1987,11,18,31.4179,-121.99,2231,1977.8,10,18.26,33.217
1987-11-19,090.0 070.0,1987,11,19,32.0846,-120.6387,2233.3,1980.5,11,17.04,33.31
1988-01-24,090.0 070.0,1988,1,24,32.0846,-120.6387,2232.366666666667,2003.5,16,NA,33.383
1988-01-24,090.0 090.0,1988,1,24,31.4179,-121.99,2233.7,1990.6333333333332,17,NA,33.42166666666667
